Category,CategoryImage,Subcategory,SubcategoryImage,Product,ProductImage,Sales,Target
Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA4UlEQVR42tXWwQ3DIAwF0IzACIzACFEnYAQOHYQNGIERMgLnnhghI2SE1AcjVZWBkthRevgSh0hPNonj6fV8TFdmujOoIBbiIQES8ewgmhOcIQtk7yQjfhhUWMk+mNSquIXlA1jJBjG/gmexJkqBgQH7vNcmODNiJb4FLgLgVgOVAFZiKdAKgoECvSCYKDAIgpkCoyC43qKlThCMFKgFQVf78LMQqGqgk2xnbXgn5rGmeqDGB1lHWu8HbBhQN7pimIMv0UZVNrJE+YFq4/ednVkTLc7bhJWveI7YPvX3izBL3nH6FSkf6OUnAAAAAElFTkSuQmCC",Road Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAABIUlEQVR42tWWTREDIQyFVwISVgIGOoMEJKCgGnCwEpDQOkACEpCAhG0OcOmE/NCdTnt4M3sAviT7Qthu9+f2TW2/DDQgD4qgA5T6dwDtVwId6AE6GZUOXwaansmpVKYypmBlATbUQFYK/BRGQjEgV8bay5YFgRUO6Jh/45AA9+7Y2b5IAWduTAI3B6K0KNAQmUl7NU7O8BjQTxY75eXQkDMODBgnBtFeX4mqEufOvACMlFvFkX0IrNKSlgXgIS3pzNa7Eliptnpv4NUe5IIOs8Yv3AZCdtISZ28XFBiYK8oQmTVJhbDNmZkAY9KPyV+Z9YYD7kS0WnnpALYXQIP2iWEXB3HDMtM8oqIi20QYS/1M9N0kY9KPyZ96+czfP4Qv0QuUlFWNE+bhGwAAAABJRU5ErkJggg==",Sprint 200,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAp0lEQVR42r3Wyw3AIAwDUEboKN2mV4/YTToKI7RUAqkffjEJBx/RkxAJdvu2OiJLyMqcZbEjxDMoi50xYnQEo9BRTIxqYCJUC+tGNbEuVBtrohZYFbXCiqgllkWtsR86A3uhLsp+AngH6UpnoPg+GksUpbGwQNEafE0UvatNA4V0eY+gYL8nBsXoByxBoVUxelBol6gaCquamENhXYSfKGY074SCOXsBebUqoDm9CkYAAAAASUVORK5CYII=",184500,170000
Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA4UlEQVR42tXWwQ3DIAwF0IzACIzACFEnYAQOHYQNGIERMgLnnhghI2SE1AcjVZWBkthRevgSh0hPNonj6fV8TFdmujOoIBbiIQES8ewgmhOcIQtk7yQjfhhUWMk+mNSquIXlA1jJBjG/gmexJkqBgQH7vNcmODNiJb4FLgLgVgOVAFZiKdAKgoECvSCYKDAIgpkCoyC43qKlThCMFKgFQVf78LMQqGqgk2xnbXgn5rGmeqDGB1lHWu8HbBhQN7pimIMv0UZVNrJE+YFq4/ednVkTLc7bhJWveI7YPvX3izBL3nH6FSkf6OUnAAAAAElFTkSuQmCC",Road Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAABIUlEQVR42tWWTREDIQyFVwISVgIGOoMEJKCgGnCwEpDQOkACEpCAhG0OcOmE/NCdTnt4M3sAviT7Qthu9+f2TW2/DDQgD4qgA5T6dwDtVwId6AE6GZUOXwaansmpVKYypmBlATbUQFYK/BRGQjEgV8bay5YFgRUO6Jh/45AA9+7Y2b5IAWduTAI3B6K0KNAQmUl7NU7O8BjQTxY75eXQkDMODBgnBtFeX4mqEufOvACMlFvFkX0IrNKSlgXgIS3pzNa7Eliptnpv4NUe5IIOs8Yv3AZCdtISZ28XFBiYK8oQmTVJhbDNmZkAY9KPyV+Z9YYD7kS0WnnpALYXQIP2iWEXB3HDMtM8oqIi20QYS/1M9N0kY9KPyZ96+czfP4Qv0QuUlFWNE+bhGwAAAABJRU5ErkJggg==",Sprint 400,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAt0lEQVR42u3WQQ3EIBBAUSQgoRIqgVPP3ayRSsABUpBQCZWwEiqBhWRINi2lw3Qge+Dwzw8SZoJ4vybRMtHBfwEH39wSXH27T7YAw80cZGqDEm7mflI1QXPAQlstUCWwmK4Bbhlwh5fLBi4ZLGa5wCHxUK6aOUCLxEKfu9ksmTlshgpKOLEjNFJATcQcrL4icHyAxZYScGUAk8udOnPY7B0oC2YOm8qBlhk7zSZ2OT9N909UB8l9AcBCqMNtmUVgAAAAAElFTkSuQmCC",142300,150000
Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA4UlEQVR42tXWwQ3DIAwF0IzACIzACFEnYAQOHYQNGIERMgLnnhghI2SE1AcjVZWBkthRevgSh0hPNonj6fV8TFdmujOoIBbiIQES8ewgmhOcIQtk7yQjfhhUWMk+mNSquIXlA1jJBjG/gmexJkqBgQH7vNcmODNiJb4FLgLgVgOVAFZiKdAKgoECvSCYKDAIgpkCoyC43qKlThCMFKgFQVf78LMQqGqgk2xnbXgn5rGmeqDGB1lHWu8HbBhQN7pimIMv0UZVNrJE+YFq4/ednVkTLc7bhJWveI7YPvX3izBL3nH6FSkf6OUnAAAAAElFTkSuQmCC",Road Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAABIUlEQVR42tWWTREDIQyFVwISVgIGOoMEJKCgGnCwEpDQOkACEpCAhG0OcOmE/NCdTnt4M3sAviT7Qthu9+f2TW2/DDQgD4qgA5T6dwDtVwId6AE6GZUOXwaansmpVKYypmBlATbUQFYK/BRGQjEgV8bay5YFgRUO6Jh/45AA9+7Y2b5IAWduTAI3B6K0KNAQmUl7NU7O8BjQTxY75eXQkDMODBgnBtFeX4mqEufOvACMlFvFkX0IrNKSlgXgIS3pzNa7Eliptnpv4NUe5IIOs8Yv3AZCdtISZ28XFBiYK8oQmTVJhbDNmZkAY9KPyV+Z9YYD7kS0WnnpALYXQIP2iWEXB3HDMtM8oqIi20QYS/1M9N0kY9KPyZ96+czfP4Qv0QuUlFWNE+bhGwAAAABJRU5ErkJggg==",Aero Elite,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAQklEQVR42mOY0/6VgZ6YYcRZKADEDlTGCvgsBCn4T2XcMGrhqIWjFo5aOGrhqIWjFo5aSGcLFaAKqIkdRna7lOYYAL+QFvkkkM1TAAAAAElFTkSuQmCC",98750,120000
Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA4UlEQVR42tXWwQ3DIAwF0IzACIzACFEnYAQOHYQNGIERMgLnnhghI2SE1AcjVZWBkthRevgSh0hPNonj6fV8TFdmujOoIBbiIQES8ewgmhOcIQtk7yQjfhhUWMk+mNSquIXlA1jJBjG/gmexJkqBgQH7vNcmODNiJb4FLgLgVgOVAFZiKdAKgoECvSCYKDAIgpkCoyC43qKlThCMFKgFQVf78LMQqGqgk2xnbXgn5rGmeqDGB1lHWu8HbBhQN7pimIMv0UZVNrJE+YFq4/ednVkTLc7bhJWveI7YPvX3izBL3nH6FSkf6OUnAAAAAElFTkSuQmCC",Mountain Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAt0lEQVR42u3WQQ3EIBBAUSQgoRIqgXNPPa6MSsABqRIkVEIlrIRKYCEZks2W0mE6kD1w+OcHCTNBTOtLtEx08F/AwTe3BDff4ZMtwHAzB5naoISbua9UTdD8YKG9FqgSWEzXAPcMeMDLZQOXDBazXOCQeChXzRygRWKh991slswcNkMFJZzYERopoCZiDlZfETg+wGJLCbgxgMnlTp05bPYOlAUzh03lQMuMnWYTu5yfpvsnqoPkPro0iGLjg4SnAAAAAElFTkSuQmCC",Trail 500,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAQklEQVR42mM4uciJgZ6YYcRZKADEDlTGCvgsBCn4T2XcMGrhqIWjFo5aOGrhqIWjFo5aSGcLFaAKqIkdRna7lOYYAFGPzyvl8S5tAAAAAElFTkSuQmCC",176200,160000
Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA4UlEQVR42tXWwQ3DIAwF0IzACIzACFEnYAQOHYQNGIERMgLnnhghI2SE1AcjVZWBkthRevgSh0hPNonj6fV8TFdmujOoIBbiIQES8ewgmhOcIQtk7yQjfhhUWMk+mNSquIXlA1jJBjG/gmexJkqBgQH7vNcmODNiJb4FLgLgVgOVAFZiKdAKgoECvSCYKDAIgpkCoyC43qKlThCMFKgFQVf78LMQqGqgk2xnbXgn5rGmeqDGB1lHWu8HbBhQN7pimIMv0UZVNrJE+YFq4/ednVkTLc7bhJWveI7YPvX3izBL3nH6FSkf6OUnAAAAAElFTkSuQmCC",Mountain Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAt0lEQVR42u3WQQ3EIBBAUSQgoRIqgXNPPa6MSsABqRIkVEIlrIRKYCEZks2W0mE6kD1w+OcHCTNBTOtLtEx08F/AwTe3BDff4ZMtwHAzB5naoISbua9UTdD8YKG9FqgSWEzXAPcMeMDLZQOXDBazXOCQeChXzRygRWKh991slswcNkMFJZzYERopoCZiDlZfETg+wGJLCbgxgMnlTp05bPYOlAUzh03lQMuMnWYTu5yfpvsnqoPkPro0iGLjg4SnAAAAAElFTkSuQmCC",Trail 700,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAqUlEQVR42r3Wyw2AIBAEUEqwFBuwl6nA2uzEUihBMcHED78ddjnMkbyEsMu4Zd0ckSlkZs6y2B7iGZTFjhgx2oNRaC8mRjUwEaqFNaOaWBOqjVVRC6yIWmFZ1BJLotbYDx2BvVAXZT8AvIL7Skeg+D4aSxS5sbBAURt8TRStq00DhXR596BgvycGRe8HLEGhVTFaUGiXqBIKq5qYQmFdhJ8oRjTvGwVz9gQ/7pjg+D0O8wAAAABJRU5ErkJggg==",121400,130000
Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA4UlEQVR42tXWwQ3DIAwF0IzACIzACFEnYAQOHYQNGIERMgLnnhghI2SE1AcjVZWBkthRevgSh0hPNonj6fV8TFdmujOoIBbiIQES8ewgmhOcIQtk7yQjfhhUWMk+mNSquIXlA1jJBjG/gmexJkqBgQH7vNcmODNiJb4FLgLgVgOVAFZiKdAKgoECvSCYKDAIgpkCoyC43qKlThCMFKgFQVf78LMQqGqgk2xnbXgn5rGmeqDGB1lHWu8HbBhQN7pimIMv0UZVNrJE+YFq4/ednVkTLc7bhJWveI7YPvX3izBL3nH6FSkf6OUnAAAAAElFTkSuQmCC",Mountain Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAt0lEQVR42u3WQQ3EIBBAUSQgoRIqgXNPPa6MSsABqRIkVEIlrIRKYCEZks2W0mE6kD1w+OcHCTNBTOtLtEx08F/AwTe3BDff4ZMtwHAzB5naoISbua9UTdD8YKG9FqgSWEzXAPcMeMDLZQOXDBazXOCQeChXzRygRWKh991slswcNkMFJZzYERopoCZiDlZfETg+wGJLCbgxgMnlTp05bPYOlAUzh03lQMuMnWYTu5yfpvsnqoPkPro0iGLjg4SnAAAAAElFTkSuQmCC",Summit Pro,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAs0lEQVR42mM4meLEQE/MMGohFqwAxOuB+DwQO9DSQgEgbgDi/2h4PdQRVLUwAYjfY7EMGTdAHUWRhaAg20/AImR8H+o4ki0EBdF8EixCx/txxS82ywKICD5icQMxFjZQyTKYT0ctHLVw1MJRCzEtLKCiheuJLbwDoCU/uRa9x1aOElM9NZBRkM/HVy8SW9PPJzK+DKjZxMBVGROsdCltRCVALXlPbLOCGs1EAVIaTiOrIQwAAremD5sixMQAAAAASUVORK5CYII=",87900,95000
Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA4UlEQVR42tXWwQ3DIAwF0IzACIzACFEnYAQOHYQNGIERMgLnnhghI2SE1AcjVZWBkthRevgSh0hPNonj6fV8TFdmujOoIBbiIQES8ewgmhOcIQtk7yQjfhhUWMk+mNSquIXlA1jJBjG/gmexJkqBgQH7vNcmODNiJb4FLgLgVgOVAFZiKdAKgoECvSCYKDAIgpkCoyC43qKlThCMFKgFQVf78LMQqGqgk2xnbXgn5rGmeqDGB1lHWu8HbBhQN7pimIMv0UZVNrJE+YFq4/ednVkTLc7bhJWveI7YPvX3izBL3nH6FSkf6OUnAAAAAElFTkSuQmCC",Touring Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAqElEQVR42r3Wyw2AIBAEUEqwFM9WM/WYWJulUIJigokffjvscpgjeQlhl3HLtjoiU8jMnGWxPcQzKIsdMWK0B6PQXkyMamAiVAtrRjWxJlQbq6IWWBG1wrKoJZZErbEfOgJ7oS7KfgB4BfeVjkDxfTSWKHJjYYGiNviaKFpXmwYK6fLuQcF+TwyK3g9YgkKrYrSg0C5RJRRWNTGFwroIP1GMaN43CubsCU/7ekDcoRHLAAAAAElFTkSuQmCC",Voyager 100,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAs0lEQVR42mPYEG7AQE/MMGohFqwAxOuB+DwQO9DSQgEgbgDi/2h4PdQRVLUwAYjfY7EMGTdAHUWRhaAg20/AImR8H+o4ki0EBdF8EixCx/txxS82ywKICD5icQMxFjZQyTKYT0ctHLVw1MJRCzEtLKCiheuJLbwDoCU/uRa9x1aOElM9NZBRkM/HVy8SW9PPJzK+DKjZxMBVGROsdCltRCVALXlPbLOCGs1EAVIaTiOrIQwAiFz6gJi8R9UAAAAASUVORK5CYII=",64300,80000
Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA4UlEQVR42tXWwQ3DIAwF0IzACIzACFEnYAQOHYQNGIERMgLnnhghI2SE1AcjVZWBkthRevgSh0hPNonj6fV8TFdmujOoIBbiIQES8ewgmhOcIQtk7yQjfhhUWMk+mNSquIXlA1jJBjG/gmexJkqBgQH7vNcmODNiJb4FLgLgVgOVAFZiKdAKgoECvSCYKDAIgpkCoyC43qKlThCMFKgFQVf78LMQqGqgk2xnbXgn5rGmeqDGB1lHWu8HbBhQN7pimIMv0UZVNrJE+YFq4/ednVkTLc7bhJWveI7YPvX3izBL3nH6FSkf6OUnAAAAAElFTkSuQmCC",Touring Bikes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAqElEQVR42r3Wyw2AIBAEUEqwFM9WM/WYWJulUIJigokffjvscpgjeQlhl3HLtjoiU8jMnGWxPcQzKIsdMWK0B6PQXkyMamAiVAtrRjWxJlQbq6IWWBG1wrKoJZZErbEfOgJ7oS7KfgB4BfeVjkDxfTSWKHJjYYGiNviaKFpXmwYK6fLuQcF+TwyK3g9YgkKrYrSg0C5RJRRWNTGFwroIP1GMaN43CubsCU/7ekDcoRHLAAAAAElFTkSuQmCC",Voyager 300,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAABIElEQVR42tWWTREDIQyFVwISVgISOPVMpwaQgoOVgIRKQAISkICEbQ5w6YT80J1Oe3gzewC+JPtC2B732/ZNbb8MNCAPiqADlPp3AO1XAh3oCToZlQ5fBpqeyalUpjKmYGUBNtRAVgr8FEZCMSBXxtrLlgWBFQ7omH/jkAD37tjZvkgBZ25MAjcHorQo0BCZSXs1Ts7wGNBPFjvl5dCQMw4MGCcG0V5fiaoS5868AIyUW8WRfQis0pKWBeAhLenM1rsSWKm2em/g1R7kgg6zxi/cBkJ20hJnbxcUGJgryhCZNUmFsM2ZmQBj0o/JX5n1hgPuRLRaeekAthdAg/aJYRcHccMy0zyioiLbRBhL/Uz03SRj0o/Jn3r5zN8/hC/RC2Nm+1+BejD/AAAAAElFTkSuQmCC",52100,55000
Components,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAs0lEQVR42mMIDnRjoCdmGLUQC1YA4vVAfB6IHWhpoQAQNwDxfzS8HuoIqlqYAMTvsViGjBugjqLIQlCQ7SdgETK+D3UcyRaCgmg+CRah4/244hebZQFEBB+xuIEYCxuoZBnMp6MWjlo4auGohZgWFlDRwvXEFt4B0JKfXIveYytHiameGsgoyOfjqxeJrennExlfBtRsYuCqjAlWupQ2ohKglrwntllBjWaiACkNp5HVEAYAHWcOsHQuPK8AAAAASUVORK5CYII=",Brakes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAQklEQVR42mPYEG7AQE/MMOIsFABiBypjBXwWghT8pzJuGLVw1MJRC0ctHLVw1MJRC0ctpLOFClAF1MQOI7tdSnMMANU6ZbwvKK6kAAAAAElFTkSuQmCC",Disc Brake Set,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA30lEQVR42tXWwQ3DIAwF0IzACIzACBmBW6+MwgaMwAjpBozACBmBEVIfjFRVBkpiV+nhSxwiPdkkjpfnwyy/zHJnUEEsxEMCJOLZQTQnuEI2yDFIRvw0qLCSYzKpV3EPyyewmgIx34JXsS5KgYEBe7/XLrgyYjW+B24CYGmBSgCrsRRoBcFAgV4QTBQYBMFMgVEQ3G/RUicIRgrUgqBrffhZCFQt0Em2szW8E/NYUyNQ44OsI230AzYMqJtdMczJl6hQlc0sUX6i2vh5Z1fWRIvzNmHlO54jtk/9/SLMkhf3n2mapiJfFQAAAABJRU5ErkJggg==",43800,40000
Components,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAs0lEQVR42mMIDnRjoCdmGLUQC1YA4vVAfB6IHWhpoQAQNwDxfzS8HuoIqlqYAMTvsViGjBugjqLIQlCQ7SdgETK+D3UcyRaCgmg+CRah4/244hebZQFEBB+xuIEYCxuoZBnMp6MWjlo4auGohZgWFlDRwvXEFt4B0JKfXIveYytHiameGsgoyOfjqxeJrennExlfBtRsYuCqjAlWupQ2ohKglrwntllBjWaiACkNp5HVEAYAHWcOsHQuPK8AAAAASUVORK5CYII=",Brakes,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAQklEQVR42mPYEG7AQE/MMOIsFABiBypjBXwWghT8pzJuGLVw1MJRC0ctHLVw1MJRC0ctpLOFClAF1MQOI7tdSnMMANU6ZbwvKK6kAAAAAElFTkSuQmCC",Hydraulic Kit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAAqElEQVR42r3Wyw2AIBAEUEqwFGuwkjnYrCdLoQTFBBM//HbY5TBH8hLCLuO2dXFEppCZOctie4hnUBY7YsRoD0ahvZgY1cBEqBbWjGpiTag2VkUtsCJqhWVRSyyJWmM/dAT2Ql2U/QDwCu4rHYHi+2gsUeTGwgJFbfA1UbSuNg0U0uXdg4L9nhgUvR+wBIVWxWhBoV2iSiisamIKhXURfqIY0bxvFMzZE/QB1iAwqUFiAAAAAElFTkSuQmCC",31250,35000
